disease,feature,coefficient,abs_coefficient
arthritis,numeric__age,1.0517223066307817,1.0517223066307817
arthritis,categorical__employment_8.0,0.925413101308601,0.925413101308601
arthritis,categorical__education_1.0,-0.508286468633055,0.508286468633055
arthritis,categorical__employment_6.0,-0.43279285306419174,0.43279285306419174
arthritis,categorical__smoking_status_4.0,-0.4184732426608846,0.4184732426608846
arthritis,categorical__sex_1.0,-0.3376411243868207,0.3376411243868207
arthritis,categorical__education_2.0,-0.33745300132114736,0.33745300132114736
arthritis,categorical__employment_2.0,-0.28556224323878127,0.28556224323878127
arthritis,categorical__education_5.0,0.2740883401839771,0.2740883401839771
arthritis,numeric__bmi,0.2668935958297058,0.2668935958297058
arthritis,categorical__employment_1.0,-0.23406700024254126,0.23406700024254126
arthritis,categorical__employment_5.0,-0.19883974185086936,0.19883974185086936
arthritis,categorical__exercise_1.0,-0.18283174339930985,0.18283174339930985
arthritis,categorical__drank_alcohol_2.0,-0.13730004973689655,0.13730004973689655
arthritis,categorical__education_4.0,0.1326219382685749,0.1326219382685749
arthritis,categorical__drank_alcohol_1.0,-0.12385816600189585,0.12385816600189585
arthritis,categorical__income_11.0,-0.10932157922361926,0.10932157922361926
arthritis,categorical__smoking_status_1.0,0.09933682306620169,0.09933682306620169
arthritis,categorical__education_3.0,0.09821125226114662,0.09821125226114662
arthritis,categorical__education_6.0,0.07965972350167624,0.07965972350167624
arthritis,categorical__exercise_2.0,-0.07832647233949766,0.07832647233949766
arthritis,categorical__sex_2.0,0.07648290864802439,0.07648290864802439
arthritis,categorical__smoking_status_2.0,0.06865847849121452,0.06865847849121452
arthritis,categorical__employment_4.0,-0.06175320042173064,0.06175320042173064
arthritis,categorical__income_4.0,-0.0608280075594307,0.0608280075594307
arthritis,categorical__income_7.0,-0.05917926898147653,0.05917926898147653
arthritis,categorical__income_5.0,-0.04540850430138957,0.04540850430138957
arthritis,categorical__income_2.0,0.04536267409635858,0.04536267409635858
arthritis,categorical__employment_3.0,0.03927865956207026,0.03927865956207026
arthritis,categorical__income_1.0,-0.03923201705415131,0.03923201705415131
arthritis,categorical__income_3.0,0.03477921077509097,0.03477921077509097
arthritis,categorical__income_6.0,-0.021523475271101895,0.021523475271101895
arthritis,categorical__employment_7.0,-0.01283493779135722,0.01283493779135722
arthritis,categorical__income_8.0,-0.012480306991001439,0.012480306991001439
arthritis,categorical__smoking_status_3.0,-0.010680274635321192,0.010680274635321192
arthritis,categorical__income_9.0,0.009814787286516202,0.009814787286516202
arthritis,numeric__missingindicator_bmi,-0.0038469154021253567,0.0038469154021253567
arthritis,categorical__income_10.0,-0.0031417285146186267,0.0031417285146186267
copd,categorical__smoking_status_4.0,-1.1935944081924093,1.1935944081924093
copd,categorical__employment_8.0,0.747643364327256,0.747643364327256
copd,numeric__age,0.6105083253657027,0.6105083253657027
copd,categorical__smoking_status_1.0,0.5582489627274094,0.5582489627274094
copd,categorical__income_10.0,-0.5429808653152138,0.5429808653152138
copd,categorical__exercise_1.0,-0.540014808088136,0.540014808088136
copd,categorical__sex_1.0,-0.4741030587918412,0.4741030587918412
copd,categorical__income_11.0,-0.45723015647420556,0.45723015647420556
copd,categorical__employment_2.0,-0.442078788288156,0.442078788288156
copd,categorical__drank_alcohol_1.0,-0.390003843270512,0.390003843270512
copd,categorical__education_2.0,-0.3663046473746685,0.3663046473746685
copd,categorical__employment_1.0,-0.35145549291908046,0.35145549291908046
copd,categorical__education_6.0,-0.32607093513826274,0.32607093513826274
copd,categorical__income_8.0,-0.3230593496911576,0.3230593496911576
