n,positive_n,weighted_prevalence,auroc,auprc,brier_score,threshold,sensitivity,specificity,ppv,npv,disease,subgroup,group
62723,24477,0.3072996262150982,0.8144027139296329,0.6294628487190257,0.15757982221853253,0.2713095080916905,0.7962672401005167,0.6986854616667021,0.5396679259803527,0.8854582391171854,arthritis,sex,female
58816,16996,0.22714023583815002,0.8051157010114036,0.5128833862982897,0.13931029010456072,0.2713095080916905,0.6771241999105214,0.7741511558775515,0.46840683623534457,0.8908088083205323,arthritis,sex,male
62810,5760,0.07087917706035124,0.8253731565612061,0.32473136139698394,0.05595720652983473,0.07023007390763747,0.7581919498020375,0.732302862244175,0.1776746918502932,0.9754290370811718,copd,sex,female
58865,4457,0.05773039059600715,0.8169074717990539,0.26730990455017556,0.0478738185261309,0.07023007390763747,0.6903350079152313,0.8028435064825618,0.17663291138209047,0.9769140952695691,copd,sex,male
62506,3064,0.03704952693116141,0.81193682322818,0.13870625902295697,0.03359780969622363,0.04583732331965846,0.7078795920841255,0.755324083508945,0.10016370716155072,0.9853380233222715,coronary_heart_disease,sex,female
58510,4440,0.05589539929034096,0.8280432273671059,0.2010221124604178,0.048024442427244844,0.04583732331965846,0.8226963463569839,0.7038306878806366,0.14123149861829976,0.9853047822420644,coronary_heart_disease,sex,male
62539,9277,0.13722477639391845,0.6414724758523567,0.2380729895045588,0.11392836773528688,0.11481035303039198,0.6508154482800443,0.5387351369917059,0.18328015898427036,0.9065447245394138,current_asthma,sex,female
58573,4864,0.082656115503162,0.5864393483824006,0.12477594965955494,0.0750381348551838,0.11481035303039198,0.16028455898551702,0.93165361725734,0.1744471420376972,0.9248879512607345,current_asthma,sex,male
62744,16807,0.25994343940551096,0.6863483826274066,0.45479522172134745,0.17418645998109672,0.22950945151568236,0.7438715023091064,0.5090920584440086,0.3473629718339062,0.8498228283171816,depression,sex,female
58751,9067,0.1537715088209375,0.67438669806676,0.29600411003353133,0.12208017466572982,0.22950945151568236,0.32847850648412624,0.8777924942975793,0.3281485901111416,0.8779528900162165,depression,sex,male
62924,8428,0.11715945659087441,0.7885957583041836,0.30632510040227756,0.09201641996937013,0.12310966619929374,0.7355737466671624,0.7000559995513889,0.24553790476579285,0.952266280657516,diabetes,sex,female
58991,8703,0.12960712949037387,0.7938908678451247,0.3471474772017456,0.09779765306735606,0.12310966619929374,0.7790430604635664,0.6735184793851803,0.262165430772199,0.9534244510411731,diabetes,sex,male
62689,2671,0.03295704672836591,0.8022425055020502,0.12987210497251617,0.030224220767505125,0.03222864612025975,0.7711529635124292,0.6931174442526773,0.07888337333588959,0.9888729134066779,heart_attack,sex,female
58652,4361,0.05534115608379869,0.8221163272438248,0.20757616091012196,0.04749785587092236,0.03222864612025975,0.876672411660182,0.605974516079005,0.11531244467589444,0.9882176554202281,heart_attack,sex,male
62785,3443,0.04081946393568724,0.7648835441850403,0.12153734073897575,0.03748960892238654,0.046858135905288985,0.7119770350669714,0.6989239832767957,0.09143505685195738,0.9827649022438412,kidney_disease,sex,female
58931,2799,0.039752538776106676,0.7826720839432049,0.12968819349129584,0.0362647582367968,0.046858135905288985,0.6928443912642429,0.7583705986487047,0.10610899409923409,0.9835093730184349,kidney_disease,sex,male
62766,7621,0.09084932945292132,0.7602310938431591,0.20727876834514292,0.07715920347427115,0.08856175164241467,0.7247548904524105,0.666281743776947,0.17831990299767006,0.9603557942475629,other_cancer,sex,female
58810,6248,0.07347437981227786,0.8233702969408967,0.2429320709194132,0.060581236683774305,0.08856175164241467,0.7741364330801938,0.7379870734595916,0.1898245447445226,0.9763047483607689,other_cancer,sex,male
62695,5009,0.05505291711214531,0.7960577563161505,0.16123403317105292,0.04890020827459731,0.048463225934461056,0.801609275509415,0.6744410548191005,0.12545503408411138,0.9831511408658545,skin_cancer,sex,female
58702,4557,0.05206742736913253,0.8329004846942378,0.20749607230727157,0.04458228655067231,0.048463225934461056,0.8243203186524772,0.7008323680098895,0.13145113264333277,0.9864182060944751,skin_cancer,sex,male
62884,2682,0.03255214769948993,0.783686213494687,0.10686188176066373,0.030241537414344762,0.0322524834882403,0.7572599935132939,0.6849373622048875,0.07482139040407107,0.9882159535528134,stroke,sex,female
58950,2479,0.03340492849231684,0.8169518829861846,0.12567867403237482,0.030539483075949992,0.0322524834882403,0.7997003940604351,0.7053739263173306,0.08575955736235524,0.990281808254611,stroke,sex,male
